지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22104,1999-05,5.1,1013,84,15.4,15.1,0.7,0.2,0.3,1.4,3.5,7.5
22104,1999-05,8,1012.7,84,15.5,15.8,1.7,0.5,0.9,2.8,4.9,7.5
22104,1999-05,5.4,1016.8,77,15.5,16.3,1.6,0.5,0.8,2.1,3.2,7.5
22104,1999-05,6.1,1015.6,86,15.7,16.3,0.9,0.3,0.4,1.1,4.2,7.5
22104,1999-05,5.6,,,,,0.9,0.3,0.6,1.7,4.1,7.5
22104,1999-05,,,,,,,,0.4,1.5,,7.5
22104,1999-05,,,,,,,,0.3,1.1,,7.5
22104,1999-05,,,,,,,,0.3,1,,7.5
22104,1999-05,,1014.6,,17.1,18.5,0.5,0.1,0.2,0.6,0.9,1
22104,1999-05,,1014.9,,17.3,18.2,0.4,0.1,0.1,0.6,2.3,7.5
22104,1999-06,,1012.4,,17.8,18.3,0.7,0.2,0.3,0.9,3.4,7.5
22104,1999-06,,1008.6,,17.2,18.4,0.8,0.3,0.5,1.5,3.3,7.5
22104,1999-06,,1008.2,,17.4,18.6,,,0.4,1.4,,7.5
22104,1999-06,,,,,,,,0.3,0.9,,7.5
22104,1999-06,8.4,1015,83,19,19.1,,,,,,
22104,1999-06,3.5,,,,,0.9,0.3,0.5,1.5,1,1.3
22104,1999-06,,1010.1,85,19.9,20.2,,,,,,
22104,1999-06,3.9,1013.3,85,19.4,20,,,,,1,1.1
22104,1999-06,2.3,1011.1,81,20.7,20.9,0.7,0.2,0.3,0.9,0.9,1
22104,1999-06,3.5,1007.5,92,21.6,21.7,0.5,0.1,0.4,1.2,2.7,7.5
22104,1999-06,6,1004,96,20.8,19.8,1.8,0.6,1,2.6,5,7.5
22104,1999-06,9.5,1002.9,96,,18.7,3,1,1.3,4,1.8,7.5
22104,1999-06,3.8,1007.9,95,20.4,19.4,1.7,0.6,0.8,2.2,0.6,0.8
22104,1999-06,3.3,,,,,1,0.3,0.4,1.3,1.7,7.5
22104,1999-06,2.1,,,,,1,0.3,0.4,1.4,0.8,1
22104,1999-06,,1011.8,96,20.9,20.8,,,,,,
22104,1999-06,,1011.2,93,20.5,20,,,,,,
22104,1999-06,8.2,,,,,1.9,0.6,1.1,3.4,5,7.5
22104,1999-06,,1001.4,99,20.4,19.9,,,,,,
22104,1999-06,3.5,1005.8,97,20.2,19.9,,,,,0.7,0.9
22104,1999-06,4.2,,,,,1.3,0.4,0.6,1.8,0.6,0.9
22104,1999-06,2.6,,,,,1.3,0.4,0.5,1.9,0.7,1.4
22104,1999-06,11.7,1001.9,94,20.1,20,,,,,2.8,7.5
22104,1999-07,,1009.6,94,20.6,20.3,,,,,,
22104,1999-07,5,1002.6,98,19.9,20.4,2.8,0.9,1.1,4,0.9,1
22104,1999-07,6.6,1010.8,86,20.5,21.3,1.7,0.6,0.7,2.3,1,7.5
22104,1999-07,8,1011.8,85,20.1,21,1.8,0.6,0.7,2.5,4.5,7.5
22104,1999-07,,1010.2,90,21,21.6,,,,,,
22104,1999-07,7.3,1007.6,93,21.1,21.5,1.6,0.5,0.7,2.4,6,7.5
22104,1999-07,10.7,1007.2,86,21.4,21.8,2.5,0.8,1,3.6,2.9,7.5
22104,1999-07,11.3,1007.5,79,21,21.7,2.7,0.9,1.1,3.4,3.8,7.5
22104,1999-07,10.1,1007.1,87,20.9,21.9,2.7,0.9,1.1,3.3,4.1,7.5
22104,1999-07,,1003.2,91,21.7,22.4,,,,,,
22104,1999-07,4.6,1005.7,93,21.7,21.6,0.8,0.2,0.3,1.1,1.1,7.5
22104,1999-07,1.9,1004.2,87,22.8,23.1,0.5,0.1,0.2,0.6,0.7,1
22104,1999-07,8.1,1008.1,92,22.6,22.8,1.8,0.6,0.7,2.4,0.8,1
22104,1999-07,6.4,1009.7,93,23.4,23.4,1.3,0.4,0.5,2,3.3,7.5
22104,1999-07,5.9,,,,,,,,,1,1.2
22104,1999-07,8.1,1006.2,95,23.2,22.9,1.9,0.6,1.4,3.9,0.8,1
22104,1999-07,5.9,1007.4,90,23.1,23.3,1.4,0.4,1,3.1,1.3,7.5
22104,1999-07,2.2,1009.9,89,24.9,24.8,0.7,0.2,0.3,0.9,0.9,1
22104,1999-07,6.7,1006.8,88,24.5,23.9,1.3,0.4,0.7,2,1,1.2
22104,1999-07,11.8,997,89,24,23,4.1,1.4,1.8,5.3,1,1.3
22104,1999-07,6,1003.6,93,23.6,23.2,2.2,0.8,1.4,3.8,1,1.2
22104,1999-07,7.4,1006,96,23.3,22.9,2,0.7,1.1,3.7,1.1,1.2
22104,1999-07,7,1009.5,95,23.4,22.7,2.4,0.9,1.1,3.2,0.8,1
22104,1999-07,4.8,1009.8,93,23.9,23.4,1.7,0.5,0.7,2.7,0.8,1
22104,1999-08,2.6,1008,92,24.7,24.7,1,0.3,0.4,1.6,0.9,1.2
22104,1999-08,3.3,1005.8,89,25.2,24.8,1.2,0.4,0.5,1.7,1.1,1.2
22104,1999-08,,1004.4,90,23.8,23.3,,,,,,
22104,1999-08,3.2,1010.2,96,21.9,22.7,1.8,0.6,1.2,3.6,0.7,1.1
22104,1999-08,6.7,1007.9,88,23.6,23.7,1.4,0.4,0.8,2.2,1.9,7.5
22104,1999-08,9.8,1002.5,89,24.1,23.6,2.8,0.9,1.3,3.9,4.3,7.5
22104,1999-08,10.7,998.8,87,24.7,23.5,2.8,0.9,1.2,3.4,4,7.5
22104,1999-08,4.8,1003.6,91,24.5,23.6,1.4,0.4,0.5,1.8,0.9,1
22104,1999-08,5.3,,,,,1.2,0.4,0.4,1.5,1,1.1
22104,1999-08,3.8,1008.4,92,24.3,24.2,1.3,0.4,0.5,1.5,1,1
22104,1999-08,1.9,1007.7,92,24.7,25,0.9,0.3,0.3,1.1,0.9,1
22104,1999-08,6.3,1006.6,88,24.4,24.3,1.1,0.4,0.5,1.6,2.2,7.5
22104,1999-08,5.8,1007.9,83,24.1,24.2,1.6,0.5,0.8,2.5,1.8,7.5
22104,1999-08,6.8,1010.7,82,24.2,24.7,1.8,0.6,0.8,2.2,0.8,1
22104,1999-08,5.9,1010.8,88,24,24.1,2.4,0.8,1,2.9,0.9,2.1
22104,1999-08,9.6,1008.8,84,24.3,25,2.4,0.8,0.9,3.1,3,7.5
22104,1999-08,7,1006,86,24.7,24.9,1.4,0.5,0.5,2.2,1.5,7.5
22104,1999-08,3.3,1007.5,89,25.1,25.5,1,0.3,0.4,1.3,1.3,7.5
22104,1999-08,3.5,1010.1,90,24.6,25.4,0.9,0.3,0.4,1.2,1.2,7.5
22104,1999-08,7.8,1009.3,90,24.4,24.7,1.9,0.7,1.1,3,1.2,7.5
22104,1999-08,5.7,1011.7,92,24.1,24.6,1.6,0.5,0.7,1.9,1,1.2
22104,1999-08,9.1,1013.2,83,23,24.4,,,,,0.9,1.3
22104,1999-08,5.8,1015,77,23.2,24.2,1.9,0.7,0.9,2.7,1,1.2
22104,1999-08,3,1012.8,76,23.2,24.4,1,0.3,0.4,1.5,0.9,1
22104,1999-08,7.3,1007.8,88,22.6,24,2,0.7,1.1,3.5,1.5,7.5
22104,1999-08,4.2,1008.8,89,22.9,24,,,,,0.8,1
22104,1999-08,4,1011.5,84,23.5,24.5,,,,,0.7,1
22104,1999-08,1.5,1011.9,85,23.6,24.8,1.1,0.3,0.5,1.6,0.8,7.5
22104,1999-08,4.6,1009.1,94,23.3,24.5,1.3,0.4,0.6,2,1.6,7.5
22104,1999-08,7.3,1007.6,91,23.3,23.3,3.4,1.2,1.8,4.6,1.2,7.5
22104,1999-09,5.2,1013.8,88,23,23.8,2,0.6,1,2.8,0.9,7.5
22104,1999-09,7.8,1019.4,83,23.2,23.6,1.8,0.6,0.8,2.3,5.5,7.5
22104,1999-09,,,,,,,,0.5,1.4,,1
22104,1999-09,,1002.2,93,24.4,24,,,,,,
22104,1999-09,4.2,1004.2,92,23.6,24,1.5,0.5,0.6,2,2.2,7.5
22104,1999-09,3.1,1008.4,86,24.8,25.3,1.1,0.3,0.4,1.3,3.5,7.5
22104,1999-09,2.9,1009.5,90,24.4,25.1,1.1,0.3,0.5,1.4,1.6,7.5
22104,1999-09,6.4,1006.2,87,24.5,24.9,1.3,0.4,0.8,2.5,2.4,7.5
22104,1999-09,,1009.8,79,24.2,24.7,,,,,,
22104,1999-09,11.5,1013.7,79,24.1,24.6,3.5,1.2,1.4,4.9,0.8,1.1
22104,1999-09,13.2,1014.2,87,21.7,23.9,,,,,,
22104,1999-09,,1013.9,89,23.5,24.5,,,,,,
22104,1999-09,6.2,1011.5,92,25.2,25.2,1.9,0.6,1,2.9,0.6,0.9
22104,1999-09,,1008.7,90,24.9,25.8,,,,,,
22104,1999-09,15.4,1010.2,,22.7,25.1,5.2,1.9,2.4,6.5,1,1.2
22104,1999-09,13.6,1010.3,,22,24.6,4,1.4,2.4,6.2,1,1
22104,1999-09,,1008.2,,21.9,24.5,,,,,,
22104,1999-09,8.2,1002.3,,22.3,24.3,2.4,0.8,1.3,3.9,1.1,1.4
22104,1999-09,3.6,1014.7,,22.4,23.1,1.6,0.5,0.8,2.2,0.9,1.2
22104,1999-09,6.1,1020.2,,21.9,23.4,1,0.3,0.4,1.4,0.9,1.1
22104,1999-09,,1019.9,,21.7,23.3,,,,,,
22104,1999-09,3.9,1017.3,77,22,24.7,0.6,0.1,0.2,1,2.8,7.5
22104,1999-09,7.8,1018.1,72,22.3,24.4,1.4,0.4,0.9,2.7,4.1,7.5
22104,1999-10,6.8,,,,,1.6,0.5,0.6,2.2,2.8,7.5
22104,1999-10,8.1,1013.1,77,21.3,25,1.1,0.3,0.6,2.1,3.9,7.5
22104,1999-10,8.9,1020.6,58,17.6,24.7,1.6,0.4,0.9,2.5,1.8,7.5
22104,1999-10,6.5,,,,,1.5,0.4,0.8,2.1,1,1.3
22104,1999-10,3.7,1019.8,63,19.6,24.2,1.6,0.4,0.7,2.3,1,1.1
22104,1999-10,5.7,1017.2,71,18.4,23.9,0.9,0.3,0.4,1.2,1,1.1
22104,1999-10,5.1,1016.1,56,20.2,23.9,0.9,0.3,0.4,1.3,1,1.1
22104,1999-10,7.2,1020.7,64,20.4,24.7,0.9,0.2,0.6,1.6,1.6,7.5
22104,1999-10,7.3,1017.8,72,21.8,24.5,1.1,0.3,1,2.7,1.5,7.5
22104,1999-10,8,1013.9,87,,23.7,2.8,0.9,1.3,4.2,1,1.1
