ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ ±â¿Â(¡ÆC)
2017,2,9.7,60,2.6
2017,2,7,48,6.2
2017,2,5.8,44,7.7
2017,3,6.1,59,11.5
2017,3,8.4,65,8.7
2017,3,5,46,8.8
2017,3,3.8,48,11.9
2017,3,5.1,55,12.5
2017,3,8.8,42,8.9
2017,3,7.1,44,4.9
2017,3,8.3,46,4.8
2017,3,8.8,45,8.1
2017,3,5.3,40,9.1
2017,3,4.8,44,11.2
2017,3,5.3,58,12.7
2017,3,7.5,56,11.2
2017,3,6.1,67,8.2
2017,3,9.4,63,8.3
2017,3,3.2,55,10.1
2017,3,3.6,52,11.7
2017,3,4.8,46,14.2
2017,3,6.5,60,14.4
2017,3,4.5,69,14
2017,3,9,66,12
2017,3,4.9,49,12.4
2017,3,5.6,52,13.8
2017,3,6.5,50,11.5
2017,3,5.4,53,12
2017,3,4.4,61,11.6
2017,3,7,61,10.9
2017,3,6,47,12.4
2017,3,4.4,69,12.9
2017,3,5.1,60,15.1
2017,3,8.8,66,12.9
2017,4,3.8,69,11.6
2017,4,7.3,65,11.7
2017,4,7.1,58,15.8
2017,4,5.7,64,17.2
2017,4,7.7,78,17.1
2017,4,10.9,89,17.7
2017,4,4.7,88,15.5
2017,4,2.8,95,14.9
2017,4,8.6,76,14.8
2017,4,9.3,72,14.1
2017,4,8.4,80,14.7
2017,4,7.6,63,15.4
2017,4,7.7,56,16.3
2017,4,10.9,69,18.1
2017,4,8.9,85,18
2017,4,6,96,16.4
2017,4,8.4,91,17.9
2017,4,7.7,72,17.4
2017,4,7.4,57,16.9
2017,4,3.6,70,17.4
2017,4,4.8,65,16.7
2017,4,4.7,66,15.2
2017,4,4.2,61,16.6
2017,4,5.2,73,17.6
2017,4,6.1,85,18.6
2017,4,4.4,84,16.5
2017,4,5.4,58,16.3
2017,4,10,64,17.6
2017,4,6.9,67,18.4
2017,4,12.3,73,18.7
2017,5,8.3,71,17.4
2017,5,5.4,71,16.8
2017,5,3,79,17.9
2017,5,2.5,80,19.9
2017,5,4.2,91,18.6
2017,5,5.5,68,18.2
2017,5,8.2,68,17.7
2017,5,6.8,74,17.7
2017,5,4.9,80,16.5
2017,5,6,89,16.4
2017,5,8.8,88,17.1
2017,5,6,90,17.1
2017,5,4.5,88,16.9
2017,5,7.2,70,17.4
2017,5,6.9,67,17
2017,5,3.2,80,16.7
2017,5,2.2,85,16.9
2017,5,4.2,86,17.6
2017,5,6.6,78,18.5
2017,5,7.3,78,18.4
2017,5,6.8,82,18.3
2017,5,3.7,89,17.3
2017,5,3.8,88,17.8
2017,5,3.2,91,18
2017,5,5.7,89,18.3
2017,5,4.6,70,15.8
2017,5,2.9,79,17.3
2017,5,7.8,82,18.3
2017,5,7.2,80,18.9
2017,5,3.7,87,19.1
2017,5,7.6,90,19.1
2017,6,5.4,91,18.7
2017,6,4.3,74,17.3
2017,6,2.8,77,18.4
2017,6,2.1,81,18.3
2017,6,4.4,82,18.7
2017,6,3.9,80,18.9
2017,6,9.9,88,19.4
2017,6,5.1,78,19.8
2017,6,7.6,83,19.7
2017,6,5.9,85,19
2017,6,6,80,18.8
2017,6,6.5,76,18.2
2017,6,3.2,73,
2017,6,4.7,80,19.8
2017,6,4.9,78,21.3
2017,6,6.4,83,19.5
2017,6,4,80,19.5
2017,6,2.1,83,20.5
2017,6,6.8,87,21.9
2017,6,5,88,21.7
2017,6,6.2,81,21.1
2017,6,4.2,90,22
2017,6,3.4,88,22.3
2017,6,2.6,93,22.1
2017,6,3.3,91,22.1
2017,6,3.1,88,22.3
2017,6,3.4,87,22.1
2017,6,7.3,94,23.5
2017,7,9.1,96,23.4
2017,7,7.7,96,23.8
2017,7,9.4,95,23.6
2017,7,5.4,96,22.6
2017,7,2.4,94,22.5
2017,7,4,94,24.3
2017,7,6.2,95,24.7
2017,7,7.7,96,25
2017,7,6.6,94,24.9
